dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E11_S1,42,0.43488860059304457,0.47428014065481267,0.468205062513513,0.5422447382896884,0.4742801406548128,0.24166936
Mouse_Brain_E11_S1,0,0.3099424211696192,0.42899940913450707,0.42254331127164463,0.5069132784424947,0.42899940913450707,0.17030805
Mouse_Brain_E11_S1,1,0.36848288415275854,0.4504438961300514,0.4441688721769389,0.5241321304045327,0.45044389613005137,0.18576871
Mouse_Brain_E11_S1,7,0.4170037486890076,0.47023276030304023,0.46409403954941486,0.5319943879975841,0.4702327603030403,0.31057602
Mouse_Brain_E11_S1,123,0.3893833774521016,0.45620888075201654,0.4499816673350562,0.5258485039654348,0.4562088807520166,0.21085346
Mouse_Brain_E11_S1,1234,0.42598972005388724,0.4897334976587969,0.4839390925313873,0.5738762737395988,0.4897334976587969,0.16175629
Mouse_Brain_E11_S1,2022,0.38724551167143406,0.4276412498322063,0.4211455911002617,0.5027671990331328,0.42764124983220625,0.21153769
Mouse_Brain_E11_S1,2023,0.38646902584827514,0.4856345568941869,0.47970608977439916,0.5576040317376785,0.48563455689418694,0.108050026
Mouse_Brain_E11_S1,2024,0.330715219078968,0.43196810790518675,0.42549392142703535,0.5045588814460681,0.43196810790518675,0.2125198
Mouse_Brain_E11_S1,1337,0.3397426970171499,0.4485594925549892,0.4422774681771469,0.5218724358147341,0.44855949255498917,0.15468435
